Serial number,Cost Centre
DEC-1JPK92S,404
DEC-3JCM8X1,404
DEC-8PCM8X1,404
DEC-1MT84X1,404
DEC-GMS84X1,404
DEC-HCT84X1,404
DEC-2KCM8X1,404
DEC-DJHQ92S,404
DEC-76FW3R1,404
DEC-BNCM8X1,404
DEC-BFCM8X1,404
DEC-5DCM8X1,404
DEC-B6FTDS1,404
DEC-B5T84X1,404
DEC-3MCM8X1,404
DEC-9HCM8X1,404
DEC-3JPK92F,404
DEC-2GPK92S,404
DEC-CFPX92S,404
DEC-9FPK92S,404
DEC-I6T84X1,404
DEC-JBCM8X1,404
DEC-CYS84X1,404
DEC-4JPK92S,404
DEC-JFPK92S,404
DEC-9DCM8X1,404
DEC-DFPK92S,404
DEC-GFPK92S,404
DEC-FFPK92S,404
DEC-96T84X1,404
DEC-8DT84X1,404
DEC-CMCM8X1,404
DEC-3RKCBW1,404
DEC-6N95YW1,404
DEC-60T84X1,404
DEC-GLS84X1,404
DEC-GNCM8X1,404
DEC-JNCM8X1,404
DEC-22T84X1,404
DEC-9WDHFS1,404
DEC-2JPK92S.,404
DEC-GDCM8X1,404
DEC-HRPK92S,404
DEC-5GCM8X1,404
DEC-INT84X1,404
DEC-2JPK92S.,404
DEC-DLCM8X1,404
DEC-,404
DEC-7BQW3R1,404
DEC-DKT84X1,404
DEC-5NCM8X1,404
DEC-BFPK92S,404
DEC-FHPGFS1,427
DEC-9PLCBW1,476
DEC-1JGNBW1,476
DEC-36Q6G3S,476
DEC-3NF9LV1,476
DEC-6LFQJX1,476
